TimeStamp,cc:d5:39:a0:cd:b4,cc:d5:39:e9:5c:a1,24:01:c7:08:b3:f1,24:01:c7:08:b3:fa,cc:d5:39:a0:cd:b0,cc:d5:39:e9:5c:a0,cc:d5:39:a0:cd:be,34:a8:4e:c6:22:00,24:01:c7:08:b3:fc,34:a8:4e:c6:22:04,cc:d5:39:89:6c:b1,cc:d5:39:e9:5c:a2,24:01:c7:6c:fc:52,cc:d5:39:e9:5c:a4,cc:d5:39:a0:cd:b5,24:01:c7:6c:fc:54,24:01:c7:08:b3:f2,34:a8:4e:c6:22:05,24:01:c7:08:b3:fe,24:01:c7:6c:fc:50,24:01:c7:33:7f:a5,24:01:c7:33:7f:a0,cc:d5:39:89:6c:b2,cc:d5:39:a0:cd:bd,cc:d5:39:a0:cd:b1,cc:d5:39:e9:5c:a5,24:01:c7:08:b3:f5,24:01:c7:08:b3:f0,24:01:c7:33:7f:aa,cc:d5:39:a0:cd:bf,cc:d5:39:a0:cd:ba,24:01:c7:6c:fc:55,34:a8:4e:c6:22:01,cc:d5:39:89:6c:b4,cc:d5:39:a0:cd:b2,24:01:c7:33:7f:a4,24:01:c7:33:7f:ac,24:01:c7:08:b3:fb,24:01:c7:08:b3:ff,24:01:c7:6c:fc:51,24:01:c7:08:b3:fd,34:a8:4e:c6:22:02,24:01:c7:33:7f:ae,24:01:c7:6c:fc:5f,24:01:c7:6c:fc:5b,cc:d5:39:a0:cd:bc,cc:d5:39:89:6c:b5,24:01:c7:33:7f:a1,24:01:c7:6c:fc:5d,24:01:c7:6c:fc:5a,24:01:c7:33:7f:a2,24:01:c7:6c:fc:5c,24:01:c7:33:7f:ab,cc:d5:39:e5:b3:85,24:01:c7:33:7f:ad,24:01:c7:08:b3:f4,cc:d5:39:a0:cd:bb,24:01:c7:33:7f:af,24:01:c7:6c:fc:5e,cc:d5:39:e5:b3:81,88:75:56:44:c6:e0,58:97:1e:f7:73:b5,cc:d5:39:e5:b3:82,cc:d5:39:e5:b3:80,cc:d5:39:e5:b3:84,58:97:1e:f7:73:b1,24:01:c7:77:3e:a0,24:01:c7:77:3e:a4,24:01:c7:77:3e:a5,24:01:c7:b0:92:21,24:01:c7:b0:92:22,cc:d5:39:e5:b3:8e,24:01:c7:77:3e:a2,cc:d5:39:e5:b3:8c,cc:d5:39:e5:b3:8a,e0:d1:73:ff:ee:55,88:75:56:44:c6:e4,88:75:56:44:c6:e5,58:97:1e:f7:73:b2,cc:d5:39:e5:b3:8d,e0:d1:73:ff:ee:51,58:97:1e:f7:73:b4,e0:d1:73:ff:ee:52,cc:d5:39:e5:b3:8f,cc:d5:39:e5:b3:8b,e0:d1:73:ff:ee:54,58:97:1e:f7:73:b0,88:75:56:44:c6:e1,e0:d1:73:ff:ee:50,88:75:56:44:c6:e2,cc:d5:39:25:b4:34,cc:d5:39:25:b4:30,cc:d5:39:25:b4:35,88:75:56:44:c6:ea,58:97:1e:f7:73:bb,58:97:1e:f7:73:bd,58:97:1e:f7:73:bf,88:75:56:44:c6:ef,58:97:1e:f7:73:be,24:01:c7:ca:81:00,88:75:56:44:c6:ed,24:01:c7:ca:81:04,24:01:c7:ca:81:02,88:75:56:44:c6:eb,24:01:c7:ca:81:0c,00:19:a9:a3:78:e0,88:75:56:44:c6:ec,cc:d5:39:25:b4:31,24:01:c7:ca:81:0d,58:97:1e:f7:73:ba,88:75:56:44:c6:ee,cc:d5:39:25:b4:32,58:97:1e:f7:73:bc,24:01:c7:ca:81:0f,24:01:c7:ca:81:05,24:01:c7:ca:81:0e,24:01:c7:ca:81:01,24:01:c7:ca:81:0a,24:01:c7:ca:81:0b,34:a8:4e:a2:a3:96,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:95,34:a8:4e:a2:a3:9d,34:a8:4e:a2:a3:93,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:99,88:75:56:4b:3a:51,34:a8:4e:e9:e0:f1,88:75:56:4b:3a:56,34:a8:4e:a2:a3:92,34:a8:4e:e9:e0:f2,34:a8:4e:a2:a3:9f,34:a8:4e:a2:a3:9a,88:75:56:4b:3a:50,88:75:56:4b:3a:55,34:a8:4e:b0:4f:c6,88:75:56:4b:3a:53,34:a8:4e:b0:4f:c2,34:a8:4e:b0:4f:c1,34:a8:4e:e9:e0:f5,34:a8:4e:e9:e0:f0,34:a8:4e:e9:e0:f3,c0:62:6b:0a:26:d5
1453855945585,-62,-49,-72,-77,-59,-56,-72,,-78,,,-57,-85,-56,-59,-85,-70,,-79,-84,-67,-67,,-70,,,,,,-72,,,,,,-66,,,-79,-81,-78,,-68,-83,,-73,,,,-84,-69,-87,-58,-57,-58,-71,,-59,,,,,,-56,-65,-84,-87,,-84,,,-75,,,,,,-86,-80,-64,-85,-82,-84,-63,-65,,-83,-86,,,-85,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855946514,,,-66,-78,-61,-56,-73,,-78,,,-57,-81,-59,-62,-81,-66,,-79,-84,-67,-67,,-72,,,,,,-72,,,,,,-66,,,-79,,-78,,-58,,,,,,,-86,-65,-85,-60,-52,-60,-71,,-60,,,,,,-55,,-85,-87,,-84,,,-70,,,,,,-86,-81,-70,-86,-81,-85,-67,-70,,-83,-86,,,-85,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855947436,,,-66,-78,-61,-56,-69,,-85,,,-57,-83,-57,-66,-82,-71,,-83,-82,-63,-62,,-71,,,,,,-71,,,,,,-65,,,-79,,-78,,-58,,,,,,,-86,-65,-85,-59,-54,-57,-70,,-57,,,,,,-55,,-85,-87,,-84,,,-70,,,,,,-86,-81,-72,-86,-83,-85,-69,-73,-85,-83,-86,,,-85,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855948358,,,-66,-78,-61,-57,-69,,-85,,,-57,-83,-56,-66,-82,-75,,-87,-85,-65,-62,,-76,-63,-57,,-74,-60,-76,,-84,,,,-65,,,-86,,-84,,-58,,,,,,,-86,-65,-85,-58,-54,-57,-75,-76,-56,,-54,,-79,,-55,,-85,-87,,-84,,,-70,,,-62,,,-86,-81,-62,-86,-81,-84,-62,-67,-83,-81,-86,-82,-85,-85,-87,-86,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855949281,,,-66,-78,-61,-57,-69,,-85,,,-57,-83,-56,-66,-82,-75,,-87,-85,-65,-62,,-78,-62,-57,-76,-75,-55,-79,-77,-85,,,,-65,-57,-82,-86,,-84,,-58,,,,,-62,,-86,-65,-85,-58,-54,-54,-75,-79,-54,-88,-54,,-79,,-55,,-85,,,-84,,,-70,,-71,-68,,-83,,-81,-67,-86,-81,-84,-68,-67,-80,-81,-86,-81,-82,,-87,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855950255,-59,-59,-66,-78,-61,-57,-69,,-85,,,-57,-83,-56,-66,-82,-75,,-87,-85,-65,-62,,-84,-59,-57,-76,-75,-58,-85,-84,-85,,,-59,-65,-56,-84,-85,-86,-83,,-58,-87,-86,-84,,-59,-86,-86,-59,-85,-58,-54,-57,-75,-79,-57,-88,-54,-79,-79,-59,-55,-59,-79,,,,,,-75,,-67,-69,,-78,,-81,-68,-86,-81,-80,-68,-67,-80,-81,-86,-80,-82,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855951209,-59,-59,,,,-65,-69,,-85,,,-57,-83,-64,-62,-82,-76,,-85,-87,-58,-62,,-80,-61,-62,-76,-77,-58,-80,-84,-86,,,-59,-65,-56,-84,-85,-86,-85,,,-87,-86,-84,,-59,-86,-86,-59,-85,-54,-58,-52,-78,-80,-53,-88,-58,-83,-79,-59,,-59,-79,,,,,,-75,,-67,-69,,-78,,-75,-69,,-75,-76,-69,-73,-80,-75,-83,-77,-83,,,,-89,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855952133,-59,-59,,,,-65,-78,,-86,,,-63,-86,-65,-62,-88,-76,,-84,-87,-55,-56,,-77,-61,-62,-76,-77,-58,-80,-84,-86,,,-59,,-56,-84,-85,-86,-85,,,-87,-86,-84,,-59,-86,,-59,,-53,-57,-52,-77,-77,-52,-89,-58,-77,-79,-59,,-59,-79,,,,,,-75,,-67,-69,,-78,,-77,-73,,-77,-78,-71,-73,-78,-77,-83,-77,-77,,,,-89,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855953073,-59,-59,,,,-64,-78,,-86,,,-63,-86,-64,-62,-88,-76,,-86,-86,-52,-56,,-85,-66,-64,-76,-78,-52,-85,-84,-86,,,-59,,-56,-84,-85,-86,-84,,,-87,-86,-84,,-59,-86,,-59,,-49,-57,-50,-78,-87,-51,-89,-62,-77,-77,-59,,-59,-79,,,,,,-75,,-67,-82,,-78,,-77,-77,,-79,-78,-77,-79,-78,-77,-80,-79,-81,,,,,-90,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855954004,-59,-59,,,,-61,-78,,-86,,,-63,-86,-61,-62,-88,-76,,-86,-86,-53,-56,,-80,-67,-60,-76,-80,-45,-80,-84,-84,,,-59,,-56,-84,-85,-86,-84,,,-87,-86,-84,,-59,-86,,-59,,-48,-57,-46,-80,-80,-46,-89,-57,-77,-76,-59,,-59,-79,,,,,,-75,,-67,-74,,-78,,-77,-74,,-79,-75,-73,-74,-77,-76,-80,-75,-82,,,,-87,-90,-90,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855954932,,,,,,-63,-78,,-86,,,-63,-86,-61,-62,-88,-76,,-86,-86,-49,-56,,-79,-68,-62,-77,-78,-46,-78,,-84,,,,,,-86,,,-87,,,,,,,-49,,,,,-47,-57,-46,-79,-78,-46,-89,-63,-77,-78,,,,,,,,,,,,,-75,,,,-77,-74,,-79,-75,-75,-74,-78,-77,-80,-75,-80,,,,-89,-88,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855955910,,,,,,-66,-78,,-86,,,-68,-86,-67,-69,-87,-77,,-89,-86,-42,-42,,-79,-68,-62,-77,-78,-46,-78,,-84,,,,,,-86,,,-87,,,,,,,-49,,,,,-44,-68,-43,-79,-78,-44,-89,-63,-77,-78,,,,,,,,,,,,,-75,,,,-75,-78,,-75,-74,-78,-80,-74,-76,-78,-74,-80,,,,-85,-88,-87,-89,-83,-88,-88,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855956845,,,,,,-67,-81,,-82,,,-65,-87,-66,-73,-86,-77,,-81,-86,-44,-45,,-80,-68,-62,-77,-78,-46,-78,,-84,,,,,,-86,,,-87,,,,,,,-49,,,,,-39,-65,-37,-76,-80,-37,,-63,,-78,,,,,,,,,,,,,-75,,,,-73,-81,,-71,-73,-81,-82,-73,-71,-73,-73,-80,,,,-85,-88,-87,-89,-83,-88,-88,-84,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855957793,,,,,,-66,-81,,-82,,,-65,-87,-66,-73,-86,-79,,-86,-86,-41,-40,,-79,-68,-62,-77,-77,-46,-78,,-86,,,,,,-86,,,-87,,,,,,,-49,,,,-87,-39,-67,-38,-78,-80,-38,-87,-63,,-78,,,,,,,,,,,,,-75,,,,-73,-81,,-74,-70,-81,-80,-72,-73,-73,-70,-80,,,,-84,-87,-84,-89,-83,-88,-88,-84,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855958720,,,,,,-70,-78,,-86,,,-67,-85,-68,-70,-86,-79,,-86,-85,-37,-39,,-79,-68,-62,-77,-77,-46,-78,,-86,,,,,,-86,,,-87,,,,,,,-49,,,,-87,-42,-73,-39,-79,-80,-40,-87,-63,,-78,,,,,,,,,,,,,-75,,,,-73,-81,,-72,-67,-84,-83,-67,-70,-76,-67,-80,,-88,-86,-84,-87,-83,-83,-83,-83,-86,-84,-88,-86,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855959656,,,,,,-65,-78,,-86,,,-67,-85,-65,-70,-87,-77,,-88,-87,-41,-39,,-79,,-66,,-77,,-78,,-86,,,,,,,,,,,,,,,,,,,,-87,-43,-75,-42,-79,-80,-43,-87,,,,,,,,,,,,,,,,,,,,-73,-81,,-70,-65,-87,-83,-66,-69,-65,-65,,,-88,-86,-78,-88,-87,-83,-83,-83,-86,-84,-88,-86,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855960584,,,,,,-65,-78,,-86,,,-67,-85,-68,-68,-87,-80,,-87,-89,-41,-39,,-83,-69,-69,,-80,,-78,,-86,,,,,,,,,,,,,,,,,,,,-87,-42,-75,-39,-80,-86,-42,-87,-72,,-70,,,,,,,,,,,,,,,,,-73,-83,,-68,-57,-82,-83,-57,-69,-58,-57,-58,,-88,-82,-74,-82,-83,-83,-73,-83,-86,-73,-87,-86,-77,-90,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855961507,,,,,,-64,-78,,-86,,,-67,-85,-68,-68,-87,-80,,-87,-89,-43,-39,,-82,-73,-65,-80,-81,-46,-82,-84,-87,,,,,-44,-87,,,-85,,,,,,,-45,,,,-87,-42,-75,-44,-80,-82,-44,-87,-73,,-65,,,,,,,,,,,,-88,,-56,-63,,-73,-83,,-68,-55,-88,-83,-55,-66,-58,-56,-63,,-88,-82,-73,-83,-83,-83,-74,-83,-86,-72,-87,-86,-77,-90,-88,-75,-81,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855962442,,,,,,-64,-78,,-86,,,-67,-85,-68,-68,-87,-80,,-87,-89,-43,-39,,-82,-72,-63,-81,-81,-51,-86,-86,-87,,,-72,,-47,-87,-89,,-89,,,,,-88,,-45,,,,-87,-42,-75,-47,-80,-82,-47,,-78,-69,-66,-79,,,,,,,,,,,-88,-81,-55,-70,,-73,-83,,-68,-55,-88,-83,-55,-66,-58,-55,-71,,-88,-82,-73,-83,-81,-80,-80,-83,-86,-80,-87,-86,-77,-90,-88,-75,-86,-88,-79,-81,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855963412,,,,,,-64,,,,,,,,-68,-68,-87,-80,,-87,-89,-43,,,-82,-73,-69,-84,-81,-47,-80,-80,-87,,,-73,,-46,-87,-90,,-89,,,,,-82,,-51,,,,,-42,-75,-44,-80,-82,-44,,-77,-73,-60,-79,,,-61,,,,,,,,-86,-84,-70,-72,,,-83,,-68,-70,-88,,-55,-66,-58,-70,-76,,,-82,-73,-83,-77,-77,-80,,-86,-80,-87,,-77,-90,-88,-75,-86,-88,-79,-81,-85,-77,-90,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855964362,,,,,,-71,,,,,,,,-71,-68,,-80,,-89,-89,-50,,,-79,-76,-71,-84,-83,-52,-83,-80,-87,,,-73,,-46,-87,-90,,-89,,,,,-82,,-51,,,,,-53,,-51,-82,-82,-51,,-77,-73,-59,-79,,,-61,,,,,,,,-86,-84,-70,-72,,,-83,,-59,-68,-88,,-68,-60,-77,-68,-77,,,-82,-85,-77,-75,-74,-85,,-87,-85,-84,,-77,-90,-88,-85,-86,-88,-79,-81,-85,-77,-90,-84,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855965303,,,,,,-70,,,,,,,,-71,-74,,-81,,-89,,-54,,,-87,-76,-69,-84,-82,-52,-83,-80,-87,,,-73,,-46,-87,-90,,-89,,,,,-82,,-51,,,,,-49,-80,-49,-82,-85,-49,,-77,-73,-59,-79,,,-61,,,,,,,,-86,-84,-70,-72,,-57,-86,,-55,-70,-88,-86,-72,-55,-78,-71,-77,,,,-85,-76,-71,-71,-85,,-85,-85,-86,,,,-88,-85,-86,-88,-79,-81,-85,-77,-90,-84,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855966249,,,,,,-72,,,,,,-72,,-72,-72,,-81,,-89,,-53,-54,,-87,-76,-69,-84,-80,-52,-83,-80,,,,-73,,-46,,-90,,-89,,,,,-82,,-51,,,,,-53,-80,-52,-81,-87,-52,,-77,-73,-59,-79,,,-61,,,,,,,,-86,-84,-70,-72,,-55,-86,,-55,-71,-88,-86,-71,-57,-76,-71,-77,,,,-89,-73,-69,-69,-85,,-84,-85,-86,-83,,-90,,-85,-86,,-79,-81,-85,-77,-90,-84,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855967215,,,,,,-73,-87,,,,,-69,,-72,-69,,-84,,-89,,-55,-56,,-86,-76,-69,-84,-80,-52,-83,-80,,,,-73,,-46,,-90,,,,,,,-82,,-51,,,,,-55,-79,-53,-83,-86,-53,,-77,-73,-59,-79,,,-61,,,,,,,,-86,-84,-70,-72,,-54,-86,,-55,-70,-89,-89,-71,-54,-79,-70,-77,,,,-89,-73,-68,-68,-85,-70,-84,-85,-85,-83,,-90,,-85,,,-79,,,-77,-90,-84,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855968172,-72,-71,-84,,-73,-73,-88,,,,,-71,,-72,-73,,-85,,-89,,-55,-52,,-86,-76,-69,,-80,-52,-83,,,,,,-52,,,,,,,-52,,,,,,,,-54,,-55,-79,-52,-83,-86,-52,,-77,,-59,,-85,-83,-48,,,,,,-88,,,,,,-80,-46,-86,-78,-55,-77,-89,-89,-71,-54,-79,-77,-77,,,,-89,-73,-65,-65,-85,-65,-84,-88,-85,-83,,-90,,-85,,,,,,-67,,-84,-89,-83,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855969110,-74,-70,-85,,-73,-73,-88,,,,,-71,,-72,-73,,-85,,-89,,-55,-52,,-86,,-69,-84,-80,,,-87,,,,-73,-60,-54,,,,,,-55,,,-85,,-60,,,-61,,-55,-79,-55,-83,-86,-55,,,-79,,-84,-85,-82,-50,,,,,,-88,,,,-78,-80,-80,-46,-86,-77,-55,-77,-89,-89,-71,-54,-79,-77,,,,,-89,-73,-62,-62,,-65,-84,-88,-85,-83,,-90,,,,,-64,-87,,-61,-90,,-89,-81,-89,-86,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855970064,-71,-72,-85,,-72,-73,-88,,,,,-71,,-72,-73,,-85,,,,-55,-52,,-86,,,-84,-80,,,-86,,,,-72,-58,-60,,,,,,-61,,,-87,,-62,,,-59,,-55,-79,-57,-83,-86,-57,,,-82,,-82,-82,-81,-51,,,,,,-88,,,,-78,-80,-81,-46,,-76,-55,-77,-89,-89,-71,-54,-79,-77,,,,,-89,-73,-62,-62,,-65,-84,-89,-85,-83,,-90,,,,-89,-65,-90,,-62,-88,,-89,-83,-89,-86,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855971037,-71,-72,-85,,-72,-72,-88,,,,,-71,,-71,-71,,-85,,,,-62,-52,,-83,-72,,-84,-84,-58,-86,-86,,,,-72,-58,-60,,,,,,-61,,,-87,,-62,,,-59,,-57,-86,-57,-85,-86,-58,,-85,-82,-50,-82,-82,-81,-51,,,,,,-88,,,,-78,-80,-81,-46,,-76,-48,-78,-89,-89,-71,-48,-84,-80,-82,,,,-89,-68,-67,-67,,-65,-84,-89,-81,-83,,,,,,-89,-65,-90,,-62,-88,-81,-85,-83,-89,-86,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855971974,-71,-72,-85,,-72,-72,-88,,,,,-71,,-71,-71,,-85,,,,-62,-52,,-84,-74,-72,-86,-85,-57,-84,-86,,,,-72,-58,-60,,,,,,-61,,,-87,,-62,,,-59,,-57,-86,-57,-85,-84,-57,,-85,-82,-50,-82,-82,-81,-51,,,,,,-88,,,,-78,-80,-81,-46,,-76,-50,-76,-89,-89,-76,-50,-82,-75,-82,,,,-89,-66,-66,-66,,-65,-80,-89,-80,-81,,,,,,-89,-65,-90,,-62,-88,-81,-87,-83,-89,-86,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,
1453855972941,-71,-72,-85,,-72,-73,,,,,,,,-74,-71,,-85,,,,-65,,,-84,-74,-73,-86,-85,-60,-84,-86,,,,-72,-58,-60,,,,,,-61,,,-87,,-62,,,-59,,-61,-86,-60,-86,-84,-60,,-86,-82,-52,-82,-82,-81,-51,,,,,,,,,,-78,-80,-81,,,-76,-49,-79,-89,-89,-80,-50,-84,-80,-85,,,,-89,-68,-68,-68,,,-82,-89,-81,-81,,-84,,,,-89,-65,-90,,-62,-88,-81,-86,-83,,-86,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,
1453855973916,-71,-72,-85,,-72,-77,-87,,-89,,,-75,,-76,-77,,-85,,-89,,-67,-67,,-86,-74,-73,-86,-85,-60,-84,-86,,,,-72,-68,-60,,,,,,-61,,,-87,,-62,,,-59,,-60,-86,-62,-85,-86,-62,,-86,-82,-52,-82,-82,-81,-51,,,,,,,,,,,,-81,-55,-89,-76,-55,-78,-89,-89,-80,-54,-84,-78,-85,,,,-89,-68,-71,-71,,-74,-80,-89,-78,-77,,-88,,,,-89,-65,-90,,-62,-88,-81,-86,-83,-86,-86,-85,-87,-88,-87,-87,-87,,,,,,,,,,,,,,,,,,,,
1453855974847,-77,-76,-86,,-77,-77,-87,,-89,,,-75,,-76,-77,,-85,,-89,,-67,-67,,-86,-74,-73,-86,-85,-60,-84,-84,,,,-79,-66,-57,,,,,,-58,,,-84,,-65,,,-66,,-60,-86,-58,-85,-86,-58,,-86,-81,-52,-84,,-84,-54,,,,,,,,,,-82,-82,-82,-55,-89,,-55,-78,-89,-89,-80,-54,-84,-78,-85,,,,-89,-68,-71,-72,,-74,-76,,-78,-76,,-88,,,,-85,-73,,,-71,-86,-81,-86,-78,-86,-86,-85,-87,-88,-87,-87,-87,-87,-86,,,,,,,,,,,,,,,,,,
1453855975787,-77,-74,-88,,-77,-77,-82,,-91,,,-76,,-76,-77,,,,-89,,-67,-67,,-86,-74,-73,-86,-85,-60,-84,-84,,,,-78,-66,-57,,,,,,-66,,,-82,,-65,,,-67,,-60,,-63,-85,-86,-63,,-86,-81,-52,-82,-82,-82,-58,,,,,,,,,,-82,-82,-85,-56,-89,-83,-55,-82,-89,-89,-80,-54,-84,-82,-85,,,,,-68,-76,-77,,-76,-76,,-78,-75,,-88,,,,-80,-81,,,-79,-80,-81,-86,-71,-82,-84,-85,-87,-88,-86,-87,-87,-76,-86,-77,,,,,,,,,,,,,,,,,
1453855976762,-76,-77,-88,-90,-76,-77,-86,,-89,,,-77,,-76,-77,,,,-89,,-67,-67,,-86,-74,-73,,,-60,,-84,,,,-76,-66,-57,,,,,,-66,,,-87,,-65,,,-67,,-60,,-65,-85,-86,-65,,-86,-84,-52,-82,-85,-86,-55,,,,,,,,,,-82,-82,-85,-56,-89,-82,-55,-82,-89,,-80,-54,-84,-82,-85,,,,,-68,-72,-72,,-72,-76,,-78,-75,,-88,,,,-74,-74,,,-73,-74,-81,-86,-71,-74,-76,,-78,-88,-78,-74,-78,-74,-74,-74,-84,-85,-85,-78,-84,,,,,,,,,,,,
1453855977711,-76,-77,-88,-90,-76,-77,-86,,-89,,,-77,,-76,-77,,,,-89,,-67,-67,,-86,-79,-73,,-86,-61,-88,-89,,,,-79,-66,-62,,,,,,-66,,,-87,,-61,,,-67,,-60,,-60,-85,-86,-60,,-82,-85,-60,-82,-85,-86,-55,,,,,,,,,,-82,-86,-85,-56,-89,-82,-55,-81,-89,,,-54,-84,-82,-86,,,,,-71,-71,-71,,-72,-76,,-78,-75,,-88,,,,-80,-72,,,-73,-80,-69,-79,-71,-74,-80,-74,-74,-88,-78,-75,-74,-75,-75,-74,-84,-85,-85,-74,-84,-75,-76,-86,-87,-87,-86,-87,,,,,
