,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz
,74:da:da:c1:04:45,74:da:da:c1:04:49,0c:73:eb:d0:2a:30,74:da:da:c1:04:4a,74:da:da:c1:02:95,74:da:da:c1:25:9d,74:da:da:c1:04:4d,74:da:da:c0:d8:59,74:da:da:c1:25:9e,0c:73:eb:d0:0e:b8,0c:73:eb:d0:0e:98,74:da:da:c1:04:4e,0c:73:eb:d0:2a:60,74:da:da:c1:02:96,0c:73:eb:d0:2a:58,74:da:da:c1:5e:ed,74:da:da:c1:5e:ee,0c:73:eb:d0:2a:88,74:da:da:c1:47:cd,74:da:da:98:ea:4c,74:da:da:c1:03:61,74:da:da:c1:04:46,74:da:da:c1:3b:79,74:da:da:c1:25:e5,0c:73:eb:d0:2a:98,74:da:da:c1:03:62,74:da:da:c1:25:a1,0c:73:eb:d0:2a:40,0c:73:eb:d0:2a:68,74:da:da:c1:3b:9d,74:da:da:c0:d8:7d,0c:73:eb:d0:2a:48,74:da:da:c0:de:2d,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:10,74:da:da:c1:4a:c9,74:da:da:c0:d8:05,0c:73:eb:d0:0e:d8,0c:73:eb:d0:11:e0,74:da:da:c0:f3:59,74:da:da:98:74:94,74:da:da:c1:25:69,0c:73:eb:d0:0e:a0,74:da:da:c0:d7:09,0c:73:eb:d0:76:40,0c:73:eb:d0:0e:a8,74:da:da:c1:17:75,74:da:da:c1:4a:7d,74:da:da:c0:e0:81,0c:73:eb:d0:2a:20,0c:73:eb:d0:0e:d0,74:da:da:98:8f:34,0c:73:eb:d0:13:a0,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:38,0c:73:eb:d0:11:b8,74:da:da:c1:25:d9,74:da:da:c1:14:99,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:28,74:da:da:c1:25:a2,74:da:da:c0:d7:dd,74:da:da:98:db:44,0c:73:eb:d0:76:48,0c:73:eb:d0:13:c0,74:da:da:c1:3c:99,74:da:da:c1:3b:4d,0c:73:eb:d0:2a:90,74:da:da:c0:d8:7e
1526456386982,-39,-41,-52,-55,-57,-59,-59,-59,-62,-62,-63,-64,-65,-66,-66,-66,-68,-70,-70,-70,-71,-72,-72,-72,-73,-74,-75,-76,-77,-77,-77,-81,-81,-84,-86,-86,-88,-88,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456390004,-37,-49,-55,-57,-58,-59,-58,-61,-66,-63,-71,-69,-64,-65,-74,-74,-68,-64,-64,-73,-71,-77,-82,-69,-65,-74,-75,-76,-81,-77,-77,-77,-75,-72,-86,-86,-77,-88,-88,-87,-91,-69,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456393041,-41,-47,-55,-58,-56,-60,-54,-61,-66,-59,-63,-70,-64,-63,-80,-72,-68,-62,-66,-76,-67,-78,-82,-69,-65,-75,-75,-76,-82,-86,-77,-75,-73,-70,-200,-200,-79,-88,-200,-87,-91,-69,-81,-89,-81,-81,-83,-87,-88,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456396087,-39,-48,-55,-58,-56,-60,-54,-61,-66,-62,-64,-69,-65,-62,-78,-72,-68,-62,-67,-74,-66,-78,-82,-69,-64,-75,-72,-76,-79,-86,-73,-74,-73,-66,-90,-200,-79,-88,-200,-86,-91,-69,-80,-89,-81,-81,-83,-87,-88,-93,-86,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456399145,-37,-47,-53,-57,-57,-60,-51,-61,-66,-64,-62,-69,-66,-62,-71,-74,-68,-59,-67,-79,-64,-76,-81,-69,-60,-74,-72,-73,-76,-86,-70,-75,-73,-70,-90,-84,-79,-88,-200,-86,-91,-69,-80,-89,-81,-77,-83,-87,-88,-93,-86,-89,-91,-87,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456402189,-39,-47,-55,-57,-59,-60,-51,-61,-65,-64,-69,-69,-66,-64,-71,-74,-200,-63,-67,-79,-64,-79,-81,-71,-63,-74,-71,-73,-78,-86,-70,-75,-85,-70,-90,-84,-79,-200,-200,-86,-200,-69,-80,-89,-81,-81,-83,-87,-88,-93,-86,-89,-91,-87,-88,-94,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456405242,-41,-46,-54,-57,-56,-64,-52,-66,-65,-64,-63,-70,-63,-64,-73,-76,-200,-63,-68,-79,-65,-77,-81,-71,-73,-75,-71,-73,-78,-86,-70,-77,-77,-70,-89,-84,-78,-200,-200,-86,-200,-69,-80,-200,-81,-81,-83,-87,-88,-93,-86,-89,-91,-87,-88,-94,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456408320,-40,-46,-54,-57,-57,-65,-52,-62,-65,-69,-68,-70,-63,-63,-72,-76,-200,-59,-65,-79,-65,-77,-81,-71,-75,-75,-71,-73,-83,-200,-70,-83,-78,-69,-89,-84,-82,-200,-200,-86,-200,-69,-78,-86,-81,-81,-82,-200,-200,-93,-86,-89,-91,-87,-93,-94,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456411373,-37,-50,-51,-59,-57,-65,-54,-62,-65,-65,-65,-70,-64,-63,-72,-76,-200,-63,-69,-76,-65,-78,-82,-71,-65,-75,-71,-85,-83,-83,-70,-75,-74,-67,-86,-84,-78,-200,-200,-200,-200,-69,-77,-86,-81,-81,-82,-200,-200,-93,-200,-200,-200,-87,-89,-92,-83,-83,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456414431,-39,-49,-53,-59,-58,-65,-56,-64,-65,-65,-70,-70,-63,-65,-71,-76,-81,-59,-68,-74,-65,-80,-82,-71,-61,-75,-71,-85,-77,-83,-70,-75,-75,-67,-86,-200,-78,-200,-200,-200,-200,-69,-77,-86,-81,-80,-82,-85,-200,-93,-200,-200,-200,-200,-89,-92,-83,-81,-78,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526456417477,-39,-49,-56,-59,-60,-65,-56,-62,-64,-65,-62,-71,-63,-65,-71,-76,-81,-58,-68,-75,-65,-79,-80,-71,-60,-76,-200,-85,-77,-83,-70,-75,-75,-68,-86,-200,-77,-200,-200,-200,-200,-69,-77,-86,-81,-80,-82,-85,-200,-93,-200,-200,-200,-88,-89,-92,-200,-81,-78,-77,-80,-79,-200,-200,-200,-200,-200,-200,-200
1526456420537,-43,-46,-55,-57,-56,-65,-53,-61,-64,-65,-72,-71,-64,-65,-69,-76,-81,-58,-65,-72,-65,-78,-80,-75,-63,-77,-200,-85,-76,-83,-70,-75,-75,-71,-89,-200,-78,-200,-200,-200,-200,-73,-83,-87,-81,-80,-82,-85,-200,-200,-200,-200,-200,-88,-89,-92,-84,-81,-78,-77,-80,-79,-91,-200,-200,-200,-200,-200,-200
1526456423574,-40,-46,-52,-57,-55,-63,-53,-69,-67,-65,-68,-73,-64,-67,-70,-74,-81,-60,-64,-72,-65,-76,-80,-71,-63,-77,-200,-76,-81,-83,-70,-75,-76,-69,-89,-200,-78,-200,-200,-200,-200,-73,-83,-87,-200,-80,-83,-85,-200,-200,-200,-200,-200,-88,-89,-92,-84,-81,-78,-77,-80,-79,-91,-200,-200,-200,-200,-200,-200
1526456426613,-40,-44,-57,-57,-55,-61,-53,-63,-68,-65,-68,-72,-64,-64,-74,-71,-78,-59,-65,-76,-65,-77,-90,-71,-59,-77,-72,-80,-82,-200,-70,-76,-76,-69,-88,-200,-78,-200,-200,-86,-200,-73,-83,-87,-200,-80,-83,-85,-200,-200,-84,-200,-200,-88,-200,-200,-84,-81,-200,-80,-80,-79,-91,-92,-200,-200,-200,-200,-200
1526456429673,-40,-48,-57,-57,-59,-63,-54,-63,-68,-65,-67,-71,-64,-63,-70,-75,-79,-62,-66,-76,-60,-77,-82,-71,-62,-77,-72,-81,-84,-200,-72,-76,-76,-66,-88,-200,-78,-200,-200,-86,-200,-71,-83,-87,-200,-200,-82,-85,-200,-200,-84,-200,-200,-88,-200,-200,-84,-200,-200,-72,-80,-79,-91,-92,-91,-93,-200,-200,-200
1526456432727,-42,-47,-54,-57,-58,-66,-54,-62,-70,-64,-67,-71,-64,-63,-73,-73,-79,-62,-65,-82,-60,-75,-80,-70,-75,-77,-72,-81,-77,-82,-72,-77,-84,-65,-88,-200,-78,-200,-200,-86,-200,-71,-80,-87,-200,-200,-82,-85,-200,-92,-84,-200,-200,-200,-200,-200,-84,-82,-200,-80,-80,-200,-91,-92,-91,-93,-200,-200,-200
1526456435780,-42,-46,-58,-57,-58,-66,-58,-61,-70,-67,-67,-71,-68,-63,-73,-83,-79,-62,-65,-82,-62,-75,-79,-70,-64,-77,-73,-82,-81,-82,-69,-76,-74,-69,-88,-200,-78,-200,-200,-86,-200,-71,-80,-200,-82,-200,-82,-85,-200,-92,-84,-200,-200,-200,-200,-200,-200,-82,-78,-76,-80,-200,-200,-92,-91,-93,-200,-200,-200
1526456438834,-41,-44,-57,-57,-57,-65,-54,-60,-69,-67,-68,-71,-69,-63,-69,-83,-79,-62,-68,-77,-62,-76,-78,-70,-64,-77,-73,-78,-77,-82,-69,-76,-70,-69,-88,-200,-79,-200,-200,-86,-200,-71,-80,-200,-82,-200,-82,-200,-200,-92,-85,-200,-200,-200,-200,-200,-200,-77,-78,-80,-80,-200,-200,-92,-91,-93,-90,-200,-200
1526456441880,-42,-46,-57,-58,-66,-65,-54,-60,-69,-62,-69,-70,-67,-63,-69,-76,-81,-58,-68,-77,-62,-77,-78,-67,-64,-77,-73,-79,-77,-82,-69,-74,-71,-69,-200,-200,-79,-200,-200,-200,-200,-71,-80,-200,-82,-200,-82,-200,-200,-92,-85,-200,-200,-200,-200,-200,-200,-77,-78,-80,-200,-200,-200,-200,-91,-93,-90,-80,-200
1526456444950,-38,-45,-57,-58,-59,-61,-55,-62,-69,-66,-65,-70,-65,-63,-75,-76,-79,-62,-68,-79,-62,-78,-78,-69,-61,-77,-71,-79,-77,-81,-70,-74,-72,-65,-200,-200,-76,-200,-200,-200,-200,-71,-80,-88,-82,-81,-200,-84,-200,-92,-85,-200,-200,-200,-200,-200,-200,-77,-78,-79,-200,-86,-200,-200,-90,-200,-90,-80,-200
1526456448009,-38,-43,-58,-58,-61,-61,-55,-61,-67,-66,-61,-70,-64,-63,-72,-73,-80,-58,-67,-79,-61,-78,-79,-69,-61,-76,-71,-79,-83,-81,-78,-74,-73,-69,-86,-82,-79,-200,-200,-200,-200,-71,-200,-88,-82,-81,-200,-85,-200,-200,-85,-200,-200,-200,-200,-200,-200,-77,-78,-79,-200,-86,-200,-200,-90,-200,-90,-80,-83
