,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:EB:98,78:A5:04:41:E9:D7,78:A5:04:41:E9:8A,78:A5:04:41:EB:CE,78:A5:04:41:E7:98,78:A5:04:41:E7:D5,78:A5:04:41:E7:88,78:A5:04:41:EE:15,78:A5:04:41:E7:EF,78:A5:04:41:EE:1D,78:A5:04:41:E9:EB,7C:66:9D:7B:46:8C,78:A5:04:41:E5:62,78:A5:04:41:E5:70,78:A5:04:41:E9:92,7C:66:9D:7B:47:3D
1526446358246,-67,-84,-75,-81,-79,-67,-67,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526446358383,-75,-200,-76,-76,-200,-68,-200,-84,-87,-200,-200,-200,-200,-200,-200,-200
1526446358490,-200,-200,-79,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446363139,-70,-200,-78,-78,-200,-200,-56,-75,-200,-85,-89,-200,-200,-200,-200,-200
1526446363250,-69,-200,-200,-79,-68,-200,-56,-75,-200,-85,-87,-100,-200,-200,-200,-200
1526446363352,-200,-200,-200,-79,-68,-200,-200,-200,-200,-200,-85,-200,-72,-200,-200,-200
1526446363461,-69,-200,-200,-79,-69,-200,-200,-200,-84,-200,-200,-101,-72,-200,-200,-200
1526446368091,-73,-200,-88,-81,-200,-200,-57,-200,-85,-84,-87,-200,-87,-72,-200,-200
1526446368189,-73,-200,-200,-81,-200,-62,-56,-200,-86,-84,-87,-200,-200,-73,-78,-99
1526446368329,-200,-200,-89,-200,-77,-200,-56,-200,-200,-84,-200,-200,-86,-200,-78,-200
1526446368415,-200,-200,-89,-81,-200,-62,-56,-83,-87,-83,-87,-200,-87,-200,-200,-200
1526446373092,-200,-200,-74,-200,-77,-68,-62,-200,-200,-200,-200,-200,-200,-74,-200,-200
1526446373186,-68,-200,-75,-73,-77,-70,-63,-200,-200,-200,-200,-200,-200,-75,-90,-200
1526446373380,-200,-200,-76,-74,-200,-70,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446373478,-200,-200,-200,-75,-200,-65,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526446378108,-200,-200,-200,-76,-200,-65,-56,-200,-82,-84,-200,-200,-200,-200,-200,-94
1526446378204,-200,-200,-200,-76,-200,-200,-56,-200,-81,-84,-200,-200,-74,-200,-82,-200
1526446378299,-62,-200,-200,-76,-200,-65,-56,-200,-81,-84,-200,-200,-200,-200,-200,-200
1526446378406,-62,-200,-200,-200,-200,-64,-56,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526446383094,-74,-200,-200,-82,-200,-63,-59,-79,-200,-200,-200,-200,-78,-75,-77,-200
1526446383203,-74,-200,-200,-82,-200,-63,-60,-79,-200,-83,-85,-200,-200,-75,-77,-99
1526446383306,-74,-200,-200,-81,-75,-63,-59,-200,-200,-83,-200,-200,-78,-75,-200,-200
1526446383425,-70,-200,-82,-200,-200,-63,-60,-79,-200,-200,-85,-200,-79,-75,-77,-96
1526446383528,-200,-200,-200,-74,-76,-200,-57,-200,-200,-200,-81,-200,-79,-70,-82,-200
1526446388146,-200,-85,-76,-200,-77,-75,-58,-81,-200,-200,-82,-200,-86,-200,-82,-200
1526446388311,-200,-85,-200,-200,-200,-74,-58,-200,-200,-200,-82,-200,-200,-200,-82,-200
1526446388416,-200,-88,-200,-76,-79,-200,-58,-81,-82,-200,-82,-200,-200,-200,-82,-200
1526446393150,-63,-200,-200,-76,-200,-66,-55,-200,-82,-200,-200,-200,-75,-75,-83,-94
1526446393258,-63,-200,-200,-76,-200,-200,-55,-200,-200,-200,-200,-200,-75,-75,-200,-200
1526446393360,-200,-200,-200,-76,-82,-200,-55,-200,-200,-83,-200,-200,-200,-200,-84,-200
1526446393463,-63,-200,-88,-76,-87,-66,-55,-200,-83,-200,-200,-200,-75,-200,-200,-200
1526446398097,-74,-200,-87,-200,-79,-66,-61,-200,-200,-200,-200,-200,-87,-75,-200,-200
1526446398191,-72,-200,-200,-84,-79,-64,-58,-200,-200,-83,-85,-200,-200,-74,-77,-94
1526446398294,-72,-200,-86,-84,-79,-63,-58,-200,-200,-83,-200,-200,-200,-74,-77,-95
1526446398397,-72,-200,-200,-200,-78,-63,-200,-80,-200,-83,-200,-200,-78,-74,-77,-96
1526446398505,-72,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526446403113,-68,-200,-200,-200,-76,-73,-200,-83,-82,-200,-200,-200,-200,-200,-200,-95
1526446403220,-69,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-86,-97
1526446403331,-69,-200,-200,-200,-200,-73,-200,-83,-82,-200,-200,-200,-200,-200,-86,-95
1526446403455,-200,-200,-200,-73,-200,-73,-56,-200,-200,-88,-200,-200,-200,-200,-83,-200
1526446408089,-200,-200,-84,-76,-80,-65,-54,-200,-200,-82,-200,-200,-75,-200,-200,-200
1526446408197,-62,-200,-200,-200,-200,-65,-54,-200,-200,-82,-200,-200,-75,-200,-200,-98
1526446408297,-62,-89,-200,-75,-200,-65,-54,-200,-200,-200,-200,-200,-200,-75,-200,-200
1526446408404,-62,-200,-85,-200,-200,-65,-54,-80,-84,-83,-200,-200,-75,-75,-83,-96
1526446408506,-200,-200,-200,-200,-200,-200,-54,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446413107,-200,-200,-86,-200,-87,-64,-62,-200,-200,-200,-200,-200,-200,-75,-200,-100
1526446413316,-200,-200,-200,-200,-200,-63,-62,-200,-200,-200,-200,-200,-76,-200,-200,-98
1526446413429,-75,-200,-83,-85,-75,-61,-59,-81,-84,-84,-200,-200,-76,-200,-77,-97
1526446418100,-200,-200,-200,-200,-74,-200,-200,-85,-83,-86,-200,-200,-200,-200,-200,-96
1526446418212,-200,-200,-200,-72,-74,-200,-200,-84,-200,-86,-200,-200,-200,-200,-200,-95
1526446418398,-70,-200,-200,-72,-74,-200,-200,-84,-83,-200,-84,-200,-200,-200,-200,-97
1526446418497,-200,-200,-200,-200,-74,-73,-55,-200,-200,-200,-200,-200,-75,-200,-200,-200
1526446423129,-63,-200,-85,-200,-75,-65,-55,-200,-84,-83,-200,-200,-200,-74,-81,-95
1526446423301,-63,-200,-85,-200,-200,-64,-55,-79,-84,-200,-200,-200,-200,-74,-200,-200
1526446423404,-63,-200,-200,-200,-200,-64,-55,-79,-200,-83,-200,-200,-200,-74,-81,-95
