,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro
,0c:73:eb:d0:11:f0,74:da:da:c1:3c:99,74:da:da:c1:3c:dd,74:da:da:c1:3c:f5,74:da:da:c1:3c:f9,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:18,74:da:da:c1:3a:81,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:00,74:da:da:c1:4b:01,74:da:da:c1:4b:05,74:da:da:c1:4b:59,74:da:da:98:74:94,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:f8,0c:73:eb:d0:7c:10,0c:73:eb:d0:7e:f0,0c:73:eb:d0:13:d0,74:da:da:c1:4a:f5,74:da:da:98:8d:78,74:da:da:c0:f3:01,0c:73:eb:d0:7c:48,bc:d1:77:5f:6a:b4,74:da:da:c0:e0:81,74:da:da:c1:4a:ed,74:da:da:98:7a:68,74:da:da:c0:e0:71,0c:73:eb:d0:7a:68,74:da:da:98:7a:60,74:da:da:c1:48:bd,0c:73:eb:d0:13:c0,74:da:da:98:91:d4,74:da:da:c0:e2:d9,74:da:da:c0:d7:b9,74:da:da:c0:d7:19,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:40,0c:73:eb:d0:7c:08,74:da:da:c1:3b:49,74:da:da:c1:3c:ad,0c:73:eb:d0:7c:28,0c:73:eb:d0:7e:e8,74:da:da:c1:3b:9d,0c:73:eb:d0:7e:f8,74:da:da:c0:e0:69,74:da:da:c1:3c:51,0c:73:eb:d0:7f:08,74:da:da:c1:03:2d,74:da:da:c1:3c:e1,74:da:da:98:7a:50,74:da:da:c0:f4:69,0c:73:eb:d0:11:e0,0c:73:eb:d0:13:a8,74:da:da:98:85:60
1526452010642,-28,-33,-37,-42,-48,-50,-53,-53,-55,-59,-61,-63,-64,-64,-65,-65,-66,-66,-67,-68,-68,-68,-69,-72,-72,-74,-75,-77,-77,-77,-78,-78,-78,-79,-79,-81,-83,-83,-85,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452013677,-27,-33,-37,-43,-44,-49,-58,-49,-56,-60,-61,-64,-68,-64,-65,-65,-66,-200,-63,-68,-200,-70,-64,-72,-72,-74,-71,-77,-77,-200,-200,-78,-200,-200,-73,-67,-83,-83,-200,-85,-90,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452016703,-27,-33,-37,-43,-44,-49,-58,-49,-56,-60,-61,-64,-68,-64,-65,-65,-66,-200,-63,-68,-200,-70,-64,-72,-72,-74,-71,-77,-77,-200,-200,-78,-200,-200,-73,-67,-83,-83,-200,-85,-90,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452019734,-27,-33,-37,-43,-44,-49,-58,-49,-56,-60,-61,-64,-68,-64,-65,-65,-66,-200,-63,-68,-200,-70,-64,-72,-72,-74,-71,-77,-77,-200,-200,-78,-200,-200,-73,-67,-83,-83,-200,-85,-90,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452022774,-26,-33,-56,-43,-42,-49,-51,-48,-58,-57,-62,-64,-70,-66,-64,-70,-71,-68,-65,-69,-200,-69,-63,-79,-200,-200,-72,-200,-200,-84,-200,-200,-200,-76,-73,-67,-200,-200,-79,-85,-200,-82,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452025809,-26,-33,-53,-44,-44,-53,-50,-49,-61,-57,-62,-64,-70,-66,-65,-70,-70,-68,-63,-65,-71,-69,-70,-79,-200,-200,-72,-200,-200,-84,-200,-200,-200,-75,-74,-67,-200,-200,-79,-83,-200,-82,-82,-89,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452028839,-26,-33,-53,-44,-44,-53,-50,-49,-61,-57,-62,-64,-70,-66,-65,-70,-70,-68,-63,-65,-71,-69,-70,-79,-200,-200,-72,-200,-200,-84,-200,-200,-200,-75,-74,-67,-200,-200,-79,-83,-200,-82,-82,-89,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452031881,-26,-33,-53,-44,-44,-53,-50,-49,-61,-57,-62,-64,-70,-66,-65,-70,-70,-68,-63,-65,-71,-69,-70,-79,-200,-200,-72,-200,-200,-84,-200,-200,-200,-75,-74,-67,-200,-200,-79,-83,-200,-82,-82,-89,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452034929,-25,-33,-57,-44,-43,-53,-55,-50,-53,-58,-63,-61,-67,-70,-65,-67,-66,-85,-66,-67,-71,-69,-64,-200,-79,-200,-72,-200,-80,-85,-200,-200,-81,-75,-72,-67,-200,-200,-73,-83,-200,-83,-200,-200,-77,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452037973,-25,-33,-55,-44,-43,-49,-56,-50,-57,-58,-63,-61,-70,-67,-63,-67,-66,-67,-66,-67,-71,-69,-64,-200,-75,-200,-73,-200,-79,-85,-77,-200,-81,-75,-72,-66,-200,-200,-74,-83,-200,-83,-200,-200,-80,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526452041010,-25,-33,-55,-44,-43,-49,-56,-50,-57,-58,-63,-61,-70,-67,-63,-67,-66,-67,-66,-67,-71,-69,-64,-200,-75,-200,-73,-200,-79,-85,-77,-200,-81,-75,-72,-66,-200,-200,-74,-83,-200,-83,-200,-200,-80,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526452044062,-25,-33,-55,-44,-43,-49,-56,-50,-57,-58,-63,-61,-70,-67,-63,-67,-66,-67,-66,-67,-71,-69,-64,-200,-75,-200,-73,-200,-79,-85,-77,-200,-81,-75,-72,-66,-200,-200,-74,-83,-200,-83,-200,-200,-80,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526452047100,-25,-34,-55,-44,-44,-49,-60,-50,-62,-59,-63,-60,-70,-67,-69,-66,-64,-67,-64,-67,-200,-71,-65,-79,-75,-200,-72,-200,-79,-200,-77,-200,-200,-76,-200,-69,-200,-200,-75,-200,-200,-200,-200,-200,-80,-200,-87,-89,-91,-200,-200,-200,-200,-200,-200
1526452050149,-25,-33,-55,-44,-44,-49,-51,-50,-57,-60,-63,-60,-70,-71,-69,-66,-75,-70,-64,-67,-73,-71,-68,-79,-78,-200,-75,-200,-79,-200,-78,-200,-200,-77,-75,-69,-200,-200,-76,-200,-200,-200,-200,-200,-80,-200,-87,-89,-91,-80,-87,-200,-200,-200,-200
1526452053189,-25,-33,-55,-44,-44,-49,-51,-50,-57,-60,-63,-60,-70,-71,-69,-66,-75,-70,-64,-67,-73,-71,-68,-79,-78,-200,-75,-200,-79,-200,-78,-200,-200,-77,-75,-69,-200,-200,-76,-200,-200,-200,-200,-200,-80,-200,-87,-89,-91,-80,-87,-200,-200,-200,-200
1526452056224,-25,-33,-55,-44,-44,-49,-51,-50,-57,-60,-63,-60,-70,-71,-69,-66,-75,-70,-64,-67,-73,-71,-68,-79,-78,-200,-75,-200,-79,-200,-78,-200,-200,-77,-75,-69,-200,-200,-76,-200,-200,-200,-200,-200,-80,-200,-87,-89,-91,-80,-87,-200,-200,-200,-200
1526452059271,-25,-33,-52,-45,-43,-53,-51,-50,-56,-59,-62,-60,-68,-71,-69,-66,-65,-68,-64,-64,-73,-75,-64,-79,-77,-200,-72,-200,-83,-200,-78,-200,-79,-76,-75,-68,-200,-200,-76,-200,-200,-200,-84,-200,-81,-200,-200,-200,-91,-80,-87,-77,-88,-200,-200
1526452062310,-25,-32,-48,-45,-46,-53,-56,-51,-49,-59,-62,-58,-64,-64,-60,-66,-66,-68,-64,-66,-73,-75,-65,-79,-77,-200,-72,-200,-83,-200,-78,-200,-79,-74,-75,-68,-200,-78,-76,-200,-200,-200,-84,-200,-81,-200,-200,-87,-91,-80,-87,-77,-88,-81,-200
1526452065359,-25,-32,-48,-45,-46,-53,-56,-51,-49,-59,-62,-58,-64,-64,-60,-66,-66,-68,-64,-66,-73,-75,-65,-79,-77,-200,-72,-200,-83,-200,-78,-200,-79,-74,-75,-68,-200,-78,-76,-200,-200,-200,-84,-200,-81,-200,-200,-87,-91,-80,-87,-77,-88,-81,-200
1526452068405,-25,-32,-48,-45,-46,-53,-56,-51,-49,-59,-62,-58,-64,-64,-60,-66,-66,-68,-64,-66,-73,-75,-65,-79,-77,-200,-72,-200,-83,-200,-78,-200,-79,-74,-75,-68,-200,-78,-76,-200,-200,-200,-84,-200,-81,-200,-200,-87,-91,-80,-87,-77,-88,-81,-200
1526452071448,-28,-32,-46,-44,-51,-49,-50,-47,-48,-60,-62,-59,-67,-64,-66,-60,-70,-61,-60,-68,-200,-200,-67,-76,-76,-200,-75,-200,-82,-200,-200,-200,-200,-74,-73,-200,-200,-78,-200,-200,-200,-200,-200,-200,-75,-200,-200,-87,-89,-200,-200,-200,-88,-81,-89
