,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:77:73,7C:66:9D:7B:2E:16,7C:66:9D:7B:2B:DE,78:A5:04:41:E7:91,7C:66:9D:7B:2B:E4,78:A5:04:41:E7:81,7C:66:9D:7B:47:3D,78:A5:04:41:EB:C7,78:A5:04:41:E5:77,78:A5:04:41:E5:56,7C:66:9D:7B:2B:CB
1526458544136,-79,-72,-78,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458544237,-78,-72,-80,-75,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526458544345,-79,-73,-78,-200,-74,-80,-82,-200,-200,-200,-200,-200,-200
1526458544520,-79,-73,-78,-75,-74,-79,-81,-200,-200,-200,-200,-200,-200
1526458544618,-79,-72,-78,-75,-75,-80,-81,-200,-200,-200,-200,-200,-200
1526458544729,-79,-72,-78,-76,-76,-200,-82,-200,-200,-200,-200,-200,-200
1526458544823,-78,-73,-79,-75,-73,-80,-81,-200,-200,-200,-200,-200,-200
1526458544930,-80,-73,-78,-77,-72,-200,-81,-200,-200,-200,-200,-200,-200
1526458545044,-200,-72,-76,-84,-73,-78,-200,-200,-200,-200,-200,-200,-200
1526458545254,-77,-72,-75,-79,-73,-79,-79,-200,-200,-200,-200,-200,-200
1526458545353,-78,-71,-200,-77,-73,-80,-81,-200,-200,-200,-200,-200,-200
1526458545461,-200,-200,-200,-200,-200,-80,-79,-200,-200,-200,-200,-200,-200
1526458545673,-79,-200,-200,-75,-200,-80,-79,-200,-200,-200,-200,-200,-200
1526458545776,-80,-69,-200,-76,-74,-80,-200,-200,-200,-200,-200,-200,-200
1526458545893,-200,-72,-200,-76,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526458545996,-79,-72,-77,-200,-73,-200,-82,-200,-200,-200,-200,-200,-200
1526458546108,-200,-74,-76,-75,-73,-200,-81,-200,-200,-200,-200,-200,-200
1526458546212,-80,-73,-77,-76,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526458546324,-79,-72,-79,-75,-73,-200,-82,-200,-200,-200,-200,-200,-200
1526458546429,-79,-72,-78,-200,-72,-79,-81,-200,-200,-200,-200,-200,-200
1526458546571,-80,-200,-75,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526458546646,-79,-73,-74,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526458546814,-81,-200,-200,-73,-71,-81,-200,-200,-200,-200,-200,-200,-200
1526458546925,-78,-72,-79,-72,-72,-78,-200,-200,-200,-200,-200,-200,-200
1526458547045,-78,-72,-85,-73,-75,-74,-200,-200,-200,-200,-200,-200,-200
1526458547153,-84,-73,-71,-73,-72,-75,-81,-100,-97,-200,-200,-200,-200
1526458547278,-82,-73,-72,-78,-71,-200,-200,-200,-94,-92,-200,-200,-200
1526458547382,-82,-72,-200,-76,-73,-75,-83,-200,-95,-91,-98,-200,-200
1526458547578,-200,-72,-70,-74,-71,-75,-200,-200,-96,-200,-94,-200,-200
1526458547669,-83,-200,-71,-72,-200,-77,-200,-200,-200,-90,-200,-200,-200
1526458547772,-88,-72,-69,-72,-200,-200,-80,-200,-200,-200,-200,-96,-200
1526458547882,-83,-73,-67,-200,-73,-75,-200,-200,-200,-200,-200,-200,-200
1526458547997,-85,-72,-66,-73,-73,-75,-78,-200,-200,-200,-95,-200,-200
1526458548306,-93,-72,-70,-200,-73,-78,-79,-200,-200,-200,-200,-200,-200
1526458548416,-200,-73,-70,-200,-200,-79,-80,-200,-200,-200,-200,-200,-200
1526458548518,-200,-72,-70,-73,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526458548619,-200,-72,-69,-200,-200,-200,-77,-200,-94,-91,-93,-200,-200
1526458548733,-92,-73,-200,-72,-74,-76,-80,-200,-200,-200,-94,-200,-200
1526458548846,-90,-73,-200,-72,-73,-79,-82,-200,-200,-91,-200,-200,-200
1526458548950,-87,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200
1526458549076,-84,-71,-72,-200,-200,-79,-85,-200,-200,-200,-200,-200,-200
1526458549180,-81,-73,-72,-74,-80,-78,-200,-200,-200,-200,-200,-200,-200
1526458549278,-81,-72,-71,-75,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526458549384,-84,-72,-72,-200,-75,-200,-83,-200,-200,-200,-200,-200,-200
1526458549484,-81,-73,-71,-200,-74,-200,-81,-200,-200,-200,-200,-200,-200
1526458549597,-94,-73,-69,-200,-73,-80,-200,-200,-200,-90,-200,-200,-100
1526458552127,-90,-73,-200,-200,-200,-200,-200,-200,-94,-90,-200,-200,-200
1526458552206,-89,-72,-200,-200,-200,-76,-83,-200,-94,-91,-200,-200,-200
1526458552317,-88,-71,-70,-200,-200,-200,-84,-200,-200,-91,-200,-200,-200
1526458552426,-200,-71,-200,-200,-71,-76,-83,-200,-93,-91,-200,-200,-200
1526458552533,-90,-73,-200,-74,-72,-200,-200,-200,-200,-92,-200,-96,-200
1526458557069,-90,-77,-74,-81,-200,-77,-89,-200,-200,-200,-200,-200,-200
1526458557126,-90,-77,-74,-200,-80,-78,-89,-200,-200,-200,-99,-200,-200
1526458557236,-89,-77,-75,-81,-79,-77,-200,-200,-200,-200,-200,-200,-200
1526458557339,-91,-78,-74,-82,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526458557442,-89,-78,-74,-81,-80,-77,-89,-200,-200,-200,-200,-200,-200
1526458557551,-200,-200,-75,-81,-71,-200,-89,-200,-200,-200,-200,-200,-200
1526458562053,-81,-72,-71,-73,-200,-79,-82,-200,-200,-200,-200,-200,-200
1526458562138,-200,-73,-200,-73,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526458562265,-81,-73,-71,-73,-72,-79,-200,-200,-200,-200,-200,-200,-200
1526458562365,-81,-72,-200,-73,-200,-80,-81,-200,-200,-200,-200,-200,-200
1526458562473,-80,-72,-71,-74,-72,-79,-200,-200,-200,-200,-200,-200,-200
1526458562580,-200,-73,-70,-73,-72,-76,-82,-200,-96,-200,-200,-200,-200
1526458567116,-200,-73,-71,-200,-70,-76,-80,-200,-200,-91,-94,-200,-200
1526458567220,-200,-200,-200,-75,-72,-200,-200,-200,-96,-90,-200,-200,-200
1526458567322,-90,-71,-70,-74,-72,-76,-80,-200,-96,-90,-200,-200,-97
1526458567526,-91,-72,-200,-74,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526458572031,-90,-77,-74,-81,-80,-77,-89,-200,-200,-200,-200,-200,-200
1526458572125,-200,-77,-75,-200,-80,-77,-89,-200,-200,-200,-200,-200,-200
1526458572228,-200,-77,-75,-81,-80,-77,-89,-200,-200,-200,-98,-200,-200
1526458572344,-90,-78,-75,-200,-200,-78,-89,-200,-200,-200,-200,-200,-200
1526458572447,-91,-78,-75,-200,-200,-78,-90,-200,-200,-200,-100,-200,-200
1526458572545,-80,-72,-200,-73,-81,-200,-89,-200,-200,-200,-200,-200,-200
1526458577104,-80,-72,-71,-72,-72,-79,-82,-200,-200,-200,-200,-200,-200
1526458577190,-81,-72,-70,-73,-72,-79,-81,-200,-200,-200,-200,-200,-200
1526458577317,-80,-72,-71,-73,-72,-79,-82,-200,-200,-200,-200,-200,-200
1526458577417,-80,-73,-71,-73,-72,-79,-81,-200,-200,-200,-200,-200,-200
1526458577528,-200,-71,-71,-73,-200,-76,-81,-200,-95,-200,-200,-200,-200
1526458582088,-91,-71,-70,-76,-72,-76,-80,-200,-200,-92,-200,-97,-200
1526458582206,-200,-73,-70,-74,-72,-76,-80,-200,-96,-200,-93,-200,-200
1526458582309,-89,-73,-71,-74,-71,-76,-200,-200,-95,-200,-200,-200,-200
1526458582420,-89,-73,-200,-74,-72,-76,-80,-200,-97,-200,-200,-200,-200
1526458582532,-91,-71,-200,-74,-72,-75,-200,-200,-96,-200,-200,-200,-200
1526458582645,-90,-200,-200,-74,-72,-200,-89,-200,-200,-200,-200,-200,-200
1526458587047,-200,-200,-75,-82,-80,-78,-89,-200,-200,-200,-200,-200,-200
1526458587159,-200,-78,-75,-81,-80,-78,-90,-200,-200,-200,-200,-200,-200
1526458587281,-200,-78,-75,-81,-80,-78,-89,-200,-200,-200,-200,-200,-200
1526458587388,-200,-78,-75,-200,-80,-200,-88,-200,-200,-200,-200,-200,-200
1526458587492,-90,-77,-74,-81,-80,-78,-89,-200,-200,-200,-200,-200,-200
1526458592032,-80,-73,-71,-72,-72,-79,-81,-200,-200,-200,-200,-200,-200
1526458592134,-80,-200,-70,-73,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526458592244,-81,-72,-71,-73,-71,-79,-81,-200,-200,-200,-200,-200,-200
1526458592345,-80,-72,-71,-73,-71,-79,-81,-200,-200,-200,-200,-200,-200
1526458592482,-200,-72,-71,-73,-72,-75,-82,-200,-200,-200,-200,-200,-200
1526458597040,-200,-73,-70,-200,-72,-200,-80,-200,-200,-200,-96,-96,-200
1526458597146,-90,-71,-70,-74,-72,-76,-200,-200,-200,-200,-94,-97,-200
1526458597248,-200,-71,-70,-74,-72,-200,-80,-200,-200,-200,-200,-96,-200
1526458597395,-200,-200,-70,-200,-200,-76,-200,-200,-200,-200,-200,-97,-200
1526458597498,-200,-71,-70,-81,-71,-200,-200,-200,-96,-200,-200,-200,-200
1526458602049,-90,-77,-74,-82,-80,-78,-200,-200,-200,-200,-200,-200,-200
1526458602143,-90,-78,-200,-82,-80,-78,-200,-200,-200,-200,-200,-200,-200
1526458602254,-90,-78,-75,-81,-80,-77,-200,-200,-200,-200,-200,-200,-200
1526458602350,-200,-78,-75,-81,-80,-78,-89,-200,-200,-200,-98,-200,-200
1526458602461,-200,-200,-75,-81,-80,-200,-89,-200,-200,-200,-200,-200,-200
1526458602569,-90,-78,-200,-73,-80,-78,-200,-200,-200,-200,-97,-200,-200
1526458607083,-80,-72,-200,-200,-200,-79,-81,-200,-200,-200,-200,-200,-200
1526458607183,-200,-73,-71,-72,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526458607287,-200,-72,-71,-73,-72,-80,-81,-200,-200,-200,-200,-200,-200
1526458607405,-200,-73,-71,-200,-72,-79,-82,-200,-200,-200,-200,-200,-200
1526458607515,-200,-200,-71,-200,-71,-80,-81,-200,-200,-200,-200,-200,-200
