,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:13:b8,0c:73:eb:d0:11:c0,74:da:da:98:85:4c,0c:73:eb:d0:7f:08,74:da:da:98:85:4d,74:da:da:98:85:1c,0c:73:eb:d0:13:90,0c:73:eb:d0:7f:10,74:da:da:c1:56:a1,74:da:da:98:74:80,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:38,74:da:da:98:85:00,74:da:da:c1:3d:2d,0c:73:eb:d0:13:98,0c:73:eb:d0:7c:40,74:da:da:98:85:60,0c:73:eb:d0:13:a8,0c:73:eb:d0:7e:f8,74:da:da:98:91:d4,74:da:da:98:85:61,74:da:da:c1:3b:29,74:da:da:c1:56:a2,74:da:da:c1:3c:85,74:da:da:c0:d7:19,74:da:da:98:85:01,0c:73:eb:d0:76:10,0c:73:eb:d0:11:c8,74:da:da:98:74:81,74:da:da:98:85:1d,74:da:da:98:74:74,0c:73:eb:d0:13:c8,50:3a:a0:ea:01:66,0c:73:eb:d0:11:d8,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:d8,74:da:da:c1:3a:81,74:da:da:c1:3c:11,74:da:da:c0:f4:69,74:da:da:c0:e0:72,74:da:da:98:74:34,74:da:da:c0:d8:3d,74:da:da:c0:d7:ba,74:da:da:c0:e0:71,74:da:da:c1:3c:45,74:da:da:c1:02:8d,0c:73:eb:d0:11:f8,74:da:da:98:91:d5,74:da:da:c0:f3:02,d8:15:0d:6c:13:98,0c:73:eb:d0:19:a0,0c:73:eb:d0:76:18,74:da:da:98:90:94,74:da:da:98:ea:64,0c:73:eb:d0:19:90,74:da:da:98:ea:5c,74:da:da:c1:3c:51,74:da:da:c0:e0:69,74:da:da:c0:e2:d9,0c:73:eb:d0:7f:18,74:da:da:c1:3a:dd,74:da:da:98:ea:50,74:da:da:c1:48:bd,74:da:da:c0:f6:15,74:da:da:c0:e0:81,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7a:68,74:da:da:c1:25:d9,ec:26:ca:0b:d4:1e,74:da:da:c1:3c:55,74:da:da:c0:f3:01,74:da:da:98:74:75,74:da:da:c1:3b:2a,74:da:da:c1:25:e5,74:da:da:98:7a:60,74:da:da:c0:d7:c5,74:da:da:c1:3d:2e,74:da:da:98:ea:54,0c:73:eb:d0:76:30,0c:73:eb:d0:7e:f0,0c:73:eb:d0:7c:00,74:da:da:c1:03:21,0c:73:eb:d0:13:c0,0c:73:eb:d0:19:c0,0c:73:eb:d0:19:88,74:da:da:c0:d7:9d,0c:73:eb:d0:7c:28,0c:73:eb:d0:76:28,0c:73:eb:d0:19:c8,0c:73:eb:d0:7f:00,74:da:da:c0:d8:05,74:da:da:c0:d7:0d,74:da:da:c1:6b:4d,0c:73:eb:d0:11:b0,74:da:da:c1:25:69,0c:73:eb:d0:13:b0,74:da:da:98:66:cc,74:da:da:98:8f:34,0c:73:eb:d0:13:a0,74:da:da:98:92:14,74:da:da:98:7a:68,74:da:da:98:7a:50,74:da:da:c0:d8:1d,0c:73:eb:d0:11:e8,0c:73:eb:d0:19:b8
1526456228729,-35,-42,-49,-54,-54,-54,-56,-57,-59,-60,-63,-67,-68,-68,-69,-69,-70,-70,-71,-72,-72,-73,-74,-74,-77,-77,-78,-79,-80,-81,-81,-82,-82,-83,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-86,-86,-86,-86,-86,-87,-87,-87,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456231767,-34,-43,-58,-52,-53,-50,-60,-64,-63,-55,-65,-70,-67,-66,-61,-65,-54,-78,-75,-70,-72,-77,-72,-78,-74,-77,-78,-77,-80,-78,-68,-82,-75,-86,-83,-90,-200,-86,-84,-200,-75,-67,-200,-82,-78,-86,-74,-200,-200,-66,-87,-77,-85,-89,-57,-75,-76,-81,-81,-83,-84,-85,-86,-88,-88,-89,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456234803,-35,-46,-58,-52,-54,-52,-59,-62,-67,-56,-69,-74,-67,-66,-62,-66,-53,-73,-75,-69,-73,-78,-73,-78,-74,-76,-78,-79,-80,-82,-71,-82,-84,-86,-89,-83,-200,-86,-85,-200,-75,-69,-86,-82,-78,-86,-77,-200,-200,-69,-87,-77,-85,-89,-52,-75,-76,-78,-81,-83,-88,-86,-86,-88,-88,-89,-89,-90,-91,-57,-80,-85,-87,-87,-87,-87,-89,-89,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456237843,-34,-46,-58,-51,-54,-49,-60,-62,-63,-54,-63,-75,-69,-66,-62,-66,-52,-71,-71,-69,-72,-77,-76,-78,-76,-76,-200,-79,-80,-79,-69,-84,-75,-89,-84,-83,-200,-87,-86,-200,-76,-68,-86,-88,-81,-88,-74,-200,-200,-66,-81,-79,-85,-89,-54,-75,-75,-78,-81,-83,-83,-84,-86,-88,-88,-89,-89,-90,-91,-57,-79,-85,-87,-87,-86,-87,-89,-88,-90,-90,-85,-85,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456240873,-35,-45,-57,-56,-54,-49,-49,-61,-63,-58,-66,-69,-67,-66,-66,-73,-54,-71,-71,-68,-73,-80,-75,-79,-76,-77,-79,-74,-80,-80,-69,-87,-75,-89,-84,-83,-81,-87,-86,-200,-76,-68,-86,-88,-81,-90,-75,-200,-200,-69,-81,-80,-87,-89,-55,-75,-76,-78,-81,-83,-85,-84,-85,-88,-88,-89,-89,-90,-91,-57,-80,-85,-87,-85,-86,-87,-89,-91,-92,-90,-87,-85,-90,-91,-79,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456243919,-34,-45,-58,-53,-54,-49,-60,-62,-65,-57,-65,-70,-67,-200,-61,-65,-53,-74,-71,-70,-72,-79,-76,-79,-75,-77,-79,-78,-80,-80,-69,-88,-75,-88,-85,-82,-81,-87,-83,-200,-75,-69,-86,-82,-79,-90,-75,-200,-200,-69,-81,-80,-87,-89,-56,-75,-76,-78,-86,-84,-84,-86,-85,-200,-88,-89,-200,-90,-91,-68,-80,-85,-87,-85,-86,-87,-89,-91,-89,-90,-87,-85,-90,-91,-79,-86,-86,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456246965,-34,-46,-58,-50,-54,-49,-60,-61,-58,-55,-61,-70,-69,-200,-59,-65,-52,-74,-73,-68,-72,-78,-77,-77,-75,-77,-79,-80,-80,-81,-69,-88,-75,-87,-85,-83,-81,-87,-82,-200,-76,-68,-200,-82,-80,-91,-74,-200,-200,-67,-80,-76,-87,-89,-57,-76,-76,-78,-86,-84,-84,-86,-85,-200,-88,-89,-200,-200,-91,-68,-79,-200,-200,-86,-86,-87,-200,-87,-89,-89,-87,-85,-90,-91,-79,-86,-86,-89,-91,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456250005,-34,-44,-53,-53,-54,-50,-60,-63,-64,-59,-65,-76,-68,-69,-71,-66,-55,-76,-73,-69,-72,-78,-78,-77,-82,-78,-81,-79,-79,-79,-64,-84,-75,-87,-86,-83,-81,-87,-82,-88,-76,-68,-200,-82,-79,-91,-75,-200,-200,-67,-76,-78,-87,-89,-57,-75,-76,-78,-87,-84,-84,-85,-84,-91,-88,-200,-90,-200,-200,-67,-79,-200,-200,-88,-86,-87,-200,-87,-89,-89,-87,-200,-200,-200,-81,-86,-86,-89,-91,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456253044,-36,-45,-54,-50,-55,-50,-59,-62,-66,-58,-64,-69,-68,-68,-64,-64,-56,-77,-72,-70,-72,-79,-77,-78,-75,-77,-79,-77,-80,-78,-68,-85,-76,-87,-86,-82,-78,-87,-84,-88,-76,-68,-200,-83,-79,-91,-75,-200,-200,-67,-76,-79,-88,-200,-58,-71,-76,-79,-85,-87,-85,-84,-84,-91,-88,-90,-90,-92,-200,-68,-79,-200,-200,-89,-85,-85,-200,-87,-89,-91,-88,-200,-91,-200,-81,-79,-85,-89,-91,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456256090,-35,-46,-52,-53,-54,-51,-58,-61,-65,-67,-63,-75,-68,-68,-60,-72,-55,-72,-72,-69,-72,-79,-77,-78,-75,-77,-79,-74,-80,-78,-66,-85,-74,-80,-88,-85,-83,-86,-83,-88,-76,-67,-200,-83,-78,-91,-74,-200,-200,-65,-76,-75,-87,-88,-56,-71,-76,-79,-85,-86,-85,-86,-85,-91,-92,-89,-90,-92,-200,-68,-79,-200,-200,-89,-85,-85,-200,-87,-90,-91,-88,-200,-92,-200,-81,-86,-88,-89,-200,-90,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456259139,-35,-46,-52,-54,-54,-50,-67,-61,-67,-58,-63,-75,-69,-68,-64,-73,-52,-75,-71,-70,-71,-79,-77,-77,-75,-78,-84,-77,-80,-80,-68,-85,-74,-80,-85,-83,-83,-87,-87,-88,-76,-67,-200,-83,-79,-200,-76,-200,-200,-65,-76,-82,-87,-88,-57,-75,-76,-77,-85,-86,-83,-86,-85,-91,-88,-90,-90,-92,-92,-64,-79,-200,-200,-89,-85,-88,-200,-200,-89,-92,-88,-200,-90,-92,-81,-82,-88,-88,-200,-88,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456262173,-33,-50,-53,-56,-53,-50,-61,-62,-58,-59,-62,-75,-68,-75,-65,-69,-56,-72,-73,-69,-74,-74,-75,-77,-75,-83,-84,-76,-80,-85,-74,-82,-77,-80,-84,-83,-83,-84,-82,-200,-75,-65,-200,-83,-88,-84,-74,-200,-200,-69,-200,-83,-89,-88,-56,-77,-78,-80,-85,-84,-84,-85,-86,-89,-88,-91,-89,-200,-92,-71,-79,-200,-200,-86,-86,-86,-200,-89,-89,-90,-89,-200,-90,-95,-79,-86,-88,-89,-200,-87,-200,-88,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456265216,-33,-43,-51,-57,-54,-51,-66,-58,-48,-54,-63,-66,-63,-75,-62,-73,-59,-72,-73,-69,-73,-74,-71,-76,-76,-75,-78,-76,-82,-74,-75,-79,-77,-82,-84,-79,-200,-84,-82,-200,-75,-66,-200,-86,-78,-84,-75,-86,-200,-60,-83,-83,-89,-90,-58,-74,-78,-80,-200,-84,-84,-85,-86,-89,-88,-89,-89,-200,-91,-71,-79,-200,-86,-86,-86,-86,-200,-89,-89,-80,-89,-200,-90,-95,-88,-89,-89,-89,-200,-87,-200,-88,-87,-92,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456268265,-35,-44,-58,-46,-53,-53,-60,-59,-52,-57,-60,-66,-61,-75,-65,-72,-57,-71,-71,-69,-72,-74,-74,-76,-76,-76,-84,-74,-82,-73,-75,-81,-77,-80,-85,-82,-200,-84,-84,-200,-78,-66,-200,-86,-77,-84,-75,-85,-200,-60,-82,-80,-89,-90,-54,-74,-78,-80,-200,-84,-81,-85,-86,-89,-91,-88,-87,-200,-91,-71,-200,-200,-86,-83,-83,-86,-200,-89,-200,-87,-89,-85,-200,-91,-88,-89,-89,-89,-200,-87,-200,-200,-87,-92,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456271313,-34,-43,-56,-48,-53,-50,-60,-51,-48,-56,-60,-67,-61,-200,-65,-71,-60,-75,-73,-69,-70,-75,-73,-80,-76,-77,-80,-75,-83,-74,-75,-81,-78,-81,-85,-81,-200,-85,-84,-200,-78,-67,-85,-86,-75,-84,-75,-85,-200,-61,-82,-79,-86,-90,-56,-73,-78,-79,-200,-87,-81,-88,-86,-88,-91,-88,-87,-88,-91,-200,-81,-200,-86,-85,-83,-200,-88,-200,-91,-87,-200,-85,-200,-91,-88,-89,-89,-89,-200,-200,-200,-200,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456274348,-15,-43,-58,-51,-53,-49,-60,-54,-51,-56,-68,-66,-66,-200,-65,-67,-58,-67,-73,-69,-72,-75,-67,-77,-76,-74,-85,-75,-82,-68,-75,-81,-77,-82,-85,-81,-200,-84,-84,-200,-78,-56,-85,-86,-78,-89,-74,-86,-200,-62,-78,-82,-88,-71,-58,-73,-200,-79,-200,-87,-91,-87,-73,-88,-91,-88,-87,-88,-91,-200,-81,-200,-84,-85,-83,-200,-91,-91,-91,-86,-200,-85,-200,-92,-88,-89,-89,-200,-200,-200,-91,-200,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456277388,-34,-47,-51,-44,-54,-51,-62,-50,-50,-55,-59,-69,-66,-200,-65,-62,-53,-67,-73,-65,-70,-75,-74,-78,-72,-74,-80,-75,-84,-68,-74,-77,-76,-81,-79,-79,-200,-84,-84,-200,-76,-65,-85,-80,-76,-86,-74,-86,-200,-60,-78,-78,-88,-87,-56,-73,-69,-75,-200,-87,-76,-86,-86,-89,-88,-88,-87,-88,-89,-69,-81,-200,-84,-85,-81,-200,-91,-91,-91,-86,-200,-85,-88,-90,-78,-200,-200,-89,-200,-200,-91,-200,-200,-200,-200,-200,-85,-89,-200,-200,-200,-200,-200,-200,-200
1526456280435,-34,-43,-52,-44,-54,-47,-57,-58,-66,-59,-64,-68,-66,-200,-64,-72,-56,-64,-73,-63,-55,-75,-74,-79,-72,-75,-80,-78,-81,-68,-76,-78,-77,-81,-79,-81,-200,-82,-84,-200,-77,-64,-85,-80,-70,-86,-74,-84,-200,-62,-77,-80,-88,-87,-56,-77,-69,-75,-87,-87,-76,-86,-86,-89,-88,-200,-87,-88,-89,-69,-82,-200,-84,-85,-82,-87,-91,-91,-91,-86,-200,-200,-88,-90,-78,-200,-200,-91,-91,-200,-91,-200,-200,-89,-200,-94,-85,-88,-90,-200,-200,-200,-200,-200,-200
1526456283484,-34,-46,-42,-43,-52,-49,-55,-55,-51,-58,-58,-68,-60,-200,-65,-69,-56,-64,-67,-64,-70,-73,-74,-79,-72,-76,-80,-78,-81,-69,-73,-78,-76,-78,-79,-83,-83,-81,-84,-90,-77,-66,-85,-75,-78,-88,-75,-84,-86,-63,-77,-80,-88,-87,-58,-77,-69,-75,-85,-200,-76,-86,-89,-89,-85,-200,-87,-88,-89,-69,-81,-200,-84,-80,-84,-87,-91,-86,-200,-86,-200,-200,-88,-90,-78,-200,-200,-91,-91,-200,-91,-200,-80,-92,-200,-94,-85,-85,-90,-71,-90,-200,-200,-200,-200
1526456286534,-14,-45,-56,-45,-55,-48,-57,-50,-46,-57,-58,-64,-64,-200,-65,-68,-61,-69,-71,-64,-55,-79,-74,-77,-74,-75,-80,-77,-81,-68,-74,-81,-78,-79,-79,-80,-83,-84,-84,-90,-77,-59,-83,-74,-76,-88,-75,-84,-86,-62,-77,-78,-89,-88,-55,-77,-69,-75,-86,-83,-77,-86,-84,-89,-82,-200,-87,-91,-89,-69,-81,-200,-85,-80,-84,-86,-200,-88,-90,-87,-200,-200,-88,-92,-80,-200,-200,-91,-91,-200,-200,-200,-80,-91,-200,-94,-85,-89,-87,-71,-90,-88,-90,-200,-200
1526456289587,-34,-43,-56,-42,-55,-48,-57,-58,-47,-58,-62,-64,-61,-70,-64,-62,-54,-69,-73,-64,-71,-79,-74,-79,-74,-74,-200,-77,-82,-68,-70,-83,-77,-81,-80,-80,-84,-84,-84,-90,-77,-64,-83,-74,-76,-88,-74,-83,-86,-58,-77,-79,-89,-88,-58,-76,-70,-75,-86,-84,-77,-85,-85,-200,-82,-200,-87,-91,-89,-66,-80,-200,-85,-81,-82,-86,-200,-88,-88,-87,-200,-87,-87,-92,-76,-200,-83,-91,-91,-200,-200,-200,-80,-92,-200,-94,-200,-89,-88,-71,-90,-88,-90,-88,-90
